source,index,x_m,y_m,z_m,stamp_ns
visual_apple_center,1,0.3564454344989386,-0.04775443778936567,-0.0694941398270878,1786345537310941409
visual_apple_center,2,0.35647432329787465,-0.047775847351995054,-0.06948032267536963,1786345537840524075
visual_apple_center,3,0.3564804105959609,-0.04775606826745796,-0.06950742678600241,1786345538372873758
visual_apple_center,4,0.35647201555586194,-0.04779992187110044,-0.06939903730045749,1786345538893114533
visual_apple_center,5,0.35648174443921565,-0.04778064829587797,-0.06945948724745432,1786345539406841096
visual_apple_center,6,0.3564874093212883,-0.04775538450335454,-0.06957103673597709,1786345539918836089
visual_apple_center,7,0.3562505401987468,-0.04812940372385144,-0.06953295008257898,1786345540446663743
visual_apple_center,8,0.3564933635109036,-0.04778294133002281,-0.06948874692101581,1786345540951921877
visual_apple_center,9,0.35647803827068997,-0.0477669272519273,-0.06949839694320337,1786345542002361487
visual_apple_center,10,0.3564970214940061,-0.04777241158038156,-0.06954792733089687,1786345542508356260
manual_aligned_tcp,1,0.34166514958423705,-0.0432051774610891,-0.049391718194991496,1786345597233843295
manual_aligned_tcp,2,0.3416701581892039,-0.043214793290795,-0.049410341540118974,1786345597288487893
manual_aligned_tcp,3,0.341692667922899,-0.04321204497710393,-0.04938191942081599,1786345597343180189
manual_aligned_tcp,4,0.3416764528629554,-0.043220982303645746,-0.04939423960220163,1786345597393335167
manual_aligned_tcp,5,0.3416776981503503,-0.04322767655094442,-0.04939043591516096,1786345597448412547
manual_aligned_tcp,6,0.34166440100685413,-0.043224668734069036,-0.049399276326667574,1786345597503238033
manual_aligned_tcp,7,0.3416853632108423,-0.043208548592065965,-0.049389954218321874,1786345597558155267
manual_aligned_tcp,8,0.34172561991287786,-0.04323167201105586,-0.04937560578013028,1786345597608267960
manual_aligned_tcp,9,0.3416717058680689,-0.04322816573244705,-0.04939124189401373,1786345597658621349
manual_aligned_tcp,10,0.3416856903488906,-0.04321884234326882,-0.04938840649355719,1786345597713393819
manual_aligned_tcp,11,0.34169536201350603,-0.043237814536135774,-0.04938948079859229,1786345597768277810
manual_aligned_tcp,12,0.3416820368072434,-0.043221313850658985,-0.049390765206339615,1786345597818405736
manual_aligned_tcp,13,0.3416722210310367,-0.04320850697292597,-0.04939295181755926,1786345597868482358
manual_aligned_tcp,14,0.3416820368072434,-0.043221313850658985,-0.049390765206339615,1786345597923342823
manual_aligned_tcp,15,0.3416801412427944,-0.043216520696874726,-0.04939831822083901,1786345597978497761
manual_aligned_tcp,16,0.3416719462857721,-0.04321933089947299,-0.049388877953583654,1786345598033636365
manual_aligned_tcp,17,0.34169245917716395,-0.04322593289036534,-0.049395156974299026,1786345598088314849
manual_aligned_tcp,18,0.34169409878451157,-0.043231115311750105,-0.049393286056675645,1786345598143336238
manual_aligned_tcp,19,0.3416732134944681,-0.04321624791385431,-0.049391241894013616,1786345598193343335
manual_aligned_tcp,20,0.34167065276184194,-0.043214007675468714,-0.049398957043490566,1786345598243408443
