source,index,x_m,y_m,z_m,stamp_ns
visual_apple_center,1,0.2504096685850052,-0.2224328375891235,-0.06546343638036889,1786346637286634328
visual_apple_center,2,0.2504199894158254,-0.22242975519482708,-0.06529914854000163,1786346637790283795
visual_apple_center,3,0.2504029451806268,-0.22244359127722646,-0.06548527043727204,1786346638818714450
visual_apple_center,4,0.25043069612401736,-0.22246544572066204,-0.06523949653654426,1786346639341510416
visual_apple_center,5,0.2505160784372642,-0.2223450821471653,-0.06420437998330758,1786346639843275712
visual_apple_center,6,0.2504574515972813,-0.22248622484636277,-0.06541673190014186,1786346640355029426
visual_apple_center,7,0.2504693874288551,-0.22233988418877768,-0.06425553770751469,1786346640888502947
visual_apple_center,8,0.25041511328086696,-0.22243789019769383,-0.06528284893118186,1786346641409834827
visual_apple_center,9,0.2504263077920817,-0.22243374642980412,-0.06527138903672475,1786346641919746969
visual_apple_center,10,0.2505425387748528,-0.22234401286441197,-0.06433937954445224,1786346642428050494
manual_aligned_tcp,1,0.2522104345306206,-0.20030330069896113,-0.05171550376185752,1786346685903508584
manual_aligned_tcp,2,0.2522164968182069,-0.2003009673424612,-0.05170192555303604,1786346685953516619
manual_aligned_tcp,3,0.25221666909284834,-0.20030066944826375,-0.05170194806631567,1786346686008522263
manual_aligned_tcp,4,0.25220514636475777,-0.20029878964876038,-0.051713182139062064,1786346686058626552
manual_aligned_tcp,5,0.2522268538380931,-0.20030870235514103,-0.05169420176158607,1786346686113683482
manual_aligned_tcp,6,0.25221624657941866,-0.20030070743003175,-0.05171331753292091,1786346686168590205
manual_aligned_tcp,7,0.25222997545805576,-0.2003115039962682,-0.051693013337076044,1786346686223235205
manual_aligned_tcp,8,0.25219960785009504,-0.2003058848582781,-0.05171314832401552,1786346686273255633
manual_aligned_tcp,9,0.2522319581801713,-0.20030545707977895,-0.05169646684670309,1786346686323567743
manual_aligned_tcp,10,0.2522131170530794,-0.2003055415611043,-0.051696208118995335,1786346686378867844
manual_aligned_tcp,11,0.25221466225830247,-0.20029952044163907,-0.05171105234257439,1786346686433363429
manual_aligned_tcp,12,0.25221438924181355,-0.20030688451078063,-0.05170416807213363,1786346686488504776
manual_aligned_tcp,13,0.2522187497386892,-0.20030945707588305,-0.05169857457650867,1786346686543596753
manual_aligned_tcp,14,0.25220664786422964,-0.20029702065105215,-0.05171314832401558,1786346686598192505
manual_aligned_tcp,15,0.2522307774701005,-0.20032316645408277,-0.05169089408085936,1786346686648407920
manual_aligned_tcp,16,0.2522174743243433,-0.200316155808154,-0.051690669683631285,1786346686698633891
manual_aligned_tcp,17,0.25221262047882764,-0.20029794138366375,-0.05170184664287464,1786346686748723196
manual_aligned_tcp,18,0.25221262047882764,-0.2002979413836637,-0.05170184664287464,1786346686798880644
manual_aligned_tcp,19,0.25221851867829553,-0.20030212825231852,-0.05169279989325565,1786346686853277463
manual_aligned_tcp,20,0.25221314906060105,-0.2003051017589143,-0.05170194806631573,1786346686903556268
