source,index,x_m,y_m,z_m,stamp_ns
visual_apple_center,1,0.4595230005328502,-0.2186532893795932,-0.05672500420196225,1786346733022656853
visual_apple_center,2,0.45956528440962235,-0.21863826297518965,-0.05676531088431769,1786346733560751146
visual_apple_center,3,0.4595793297358231,-0.2186567901532851,-0.056918748148419795,1786346734076677930
visual_apple_center,4,0.45957281276284,-0.21864551428176138,-0.05693285279098914,1786346734587552023
visual_apple_center,5,0.4595313349202642,-0.2186410775008451,-0.05684972990907028,1786346735110353679
visual_apple_center,6,0.459547499441064,-0.21865350708958087,-0.05681292141311722,1786346736167902205
visual_apple_center,7,0.4595753379902363,-0.21863421904697375,-0.05684268242549373,1786346736692926190
visual_apple_center,8,0.45956132514952464,-0.2186854539469894,-0.056847952455512385,1786346737192879588
visual_apple_center,9,0.45955748131517893,-0.21865631360799853,-0.05678083989913146,1786346737731171504
visual_apple_center,10,0.45956820769474604,-0.21866475527525053,-0.05688350848832141,1786346738257055070
manual_aligned_tcp,1,0.44367627627745515,-0.19457412436785304,-0.0481200117781424,1786346829808324909
manual_aligned_tcp,2,0.44368231315292384,-0.19455831407769852,-0.04811919600667941,1786346829858511419
manual_aligned_tcp,3,0.44368255243303906,-0.19457419647284815,-0.048099639076524314,1786346829913603153
manual_aligned_tcp,4,0.44366530421602085,-0.19458513244339792,-0.04811942191961904,1786346829963695258
manual_aligned_tcp,5,0.4436769155862265,-0.19456127430512216,-0.04810409948795913,1786346830018346759
manual_aligned_tcp,6,0.44365694370147307,-0.19459079482234298,-0.04812342323132418,1786346830073344215
manual_aligned_tcp,7,0.44367210710753757,-0.19458158688900462,-0.048119196006679466,1786346830128331141
manual_aligned_tcp,8,0.44368577862166636,-0.19456507072719775,-0.04811151607022868,1786346830183473810
manual_aligned_tcp,9,0.44368942065579475,-0.19456661210184947,-0.04811841794868982,1786346830233583189
manual_aligned_tcp,10,0.4436622676017547,-0.1945549370340222,-0.048128695058271775,1786346830288206649
manual_aligned_tcp,11,0.4436728657622134,-0.19455424412954325,-0.04812356296995712,1786346830338302711
manual_aligned_tcp,12,0.4436913258993711,-0.19456218575209652,-0.048118464446299136,1786346830388445993
manual_aligned_tcp,13,0.4436780127279887,-0.19458009215265673,-0.04812686722735532,1786346830443276536
manual_aligned_tcp,14,0.44366154014591913,-0.19459274859488684,-0.04814367228211719,1786346830493530361
manual_aligned_tcp,15,0.44367197654591506,-0.19456959677692465,-0.048127505376035495,1786346830548201336
manual_aligned_tcp,16,0.44367154496476885,-0.19455894408514707,-0.048111732772477545,1786346830598512439
manual_aligned_tcp,17,0.4436654728001831,-0.194574738782008,-0.04811261302566039,1786346830653547193
manual_aligned_tcp,18,0.4436614581834504,-0.19456772356732838,-0.04813201189803562,1786346830708639516
manual_aligned_tcp,19,0.4436582275343258,-0.19456366894220545,-0.04814476872303175,1786346830763410115
manual_aligned_tcp,20,0.4436683345683396,-0.1945680555348845,-0.04812060325628248,1786346830818292107
