source,index,x_m,y_m,z_m,stamp_ns
visual_apple_center,1,0.4551097895761721,-0.07617400312343676,-0.06431909926106716,1786343190022960039
visual_apple_center,2,0.4551147469549856,-0.07611920143817727,-0.06440322966969236,1786343190535260467
visual_apple_center,3,0.45512874767318334,-0.07615696213236736,-0.06447410349995375,1786343191044709766
visual_apple_center,4,0.4551005800483295,-0.0761126142619616,-0.06438717740432731,1786343191557386094
visual_apple_center,5,0.4544163670157161,-0.07564545551907105,-0.06465178260093835,1786343192061677160
visual_apple_center,6,0.4551142653842824,-0.07612630387236484,-0.06438537638908026,1786343192575229310
visual_apple_center,7,0.4551406439056116,-0.07614077880854109,-0.06441059335249488,1786343193072487506
visual_apple_center,8,0.4551526506060109,-0.07609642408182393,-0.06456271729523844,1786343193572964630
visual_apple_center,9,0.4550864670577707,-0.07616770071668946,-0.06437982994696739,1786343194602087259
visual_apple_center,10,0.4544029670382562,-0.07562780243303346,-0.06455702666819257,1786343196141672284
manual_aligned_tcp,1,0.43542050738461846,-0.07027019868211512,-0.03856938773642604,1786343255833220542
manual_aligned_tcp,2,0.4354257929345791,-0.0702831861223656,-0.038565056033483536,1786343255883566862
manual_aligned_tcp,3,0.43541262192794433,-0.07025893233949859,-0.03856937582876602,1786343255938263902
manual_aligned_tcp,4,0.4354075901966856,-0.07027572433090937,-0.03856503219356777,1786343255988602160
manual_aligned_tcp,5,0.4354019135190391,-0.07026963694351096,-0.03859239084429178,1786343256043380342
manual_aligned_tcp,6,0.43541015123169524,-0.07028653268538865,-0.03857871124443091,1786343256098228923
manual_aligned_tcp,7,0.4354229059025665,-0.0702948645616508,-0.03856597206563367,1786343256148377239
manual_aligned_tcp,8,0.4354332425220979,-0.07029094355312307,-0.03856598346681178,1786343256203518778
manual_aligned_tcp,9,0.4354332425220979,-0.07029094355312307,-0.03856598346681178,1786343256258340033
manual_aligned_tcp,10,0.43542067708631127,-0.0702642280991927,-0.03856162274655328,1786343256313299463
manual_aligned_tcp,11,0.4354131684517035,-0.07026197502972925,-0.03856082815957357,1786343256363461475
manual_aligned_tcp,12,0.4354131684517035,-0.07026197502972925,-0.03856082815957357,1786343256363461475
manual_aligned_tcp,13,0.43543267771194744,-0.07027385055682997,-0.03856255628403854,1786343256418367587
manual_aligned_tcp,14,0.43543222211477467,-0.07027657539250472,-0.0385590202822122,1786343256468406767
manual_aligned_tcp,15,0.43542215902858816,-0.07026617212572292,-0.03856847171168293,1786343256518540649
manual_aligned_tcp,16,0.43543045449055023,-0.07028458506382415,-0.03855743012460444,1786343256573240177
manual_aligned_tcp,17,0.43542988938676586,-0.07026749214184044,-0.03855400281418764,1786343256623498232
manual_aligned_tcp,18,0.43541805117229454,-0.07028890347198713,-0.03855924971092456,1786343256678510178
manual_aligned_tcp,19,0.4354227766347916,-0.07028128133026516,-0.03856162866313195,1786343256733262651
manual_aligned_tcp,20,0.43543500515859757,-0.07028645055268049,-0.038557435789375205,1786343256788394503
