created_at,label,visual_x_m,visual_y_m,visual_z_m,tcp_x_m,tcp_y_m,tcp_z_m,delta_x_mm,delta_y_mm,delta_z_mm,delta_norm_mm,confidence_median,radius_median_m,vision_span_x_mm,vision_span_y_mm,vision_span_z_mm
2026-08-10T14:20:21.548781+08:00,apple_test_1,0.4521395682562007,-0.20695079733817778,-0.0577732076272863,0.43966087019075606,-0.18937037114986904,-0.04575762718338239,-12.47869806544466,17.58042618830874,12.015580443903911,24.681237079511032,0.42555,0.030768,0.6441247619143886,0.13674457983692268,2.067829664766041
2026-08-10T14:27:36.834017+08:00,apple_test_2,0.4551120274802273,-0.07612275265527105,-0.06440691151109362,0.4354224678316899,-0.07027614986170705,-0.038563794238803156,-19.689559648537358,5.846602793563998,25.843117272290467,33.011032000353744,0.1975,0.0319175,0.7496835677546776,0.5462006904033007,0.33268333987118703
2026-08-10T14:28:58.428897+08:00,apple_test_2,0.2932803800767335,-0.2603180664708378,-0.06290036462882803,0.2964133007143096,-0.24819877095144657,-0.04694903626005384,3.1329206375760865,12.1192955193912,15.951328368774192,20.276523181653854,0.5774999999999999,0.0310105,0.04421018402095411,0.19287482927782262,1.1720828702412311
2026-08-10T14:59:37.638739+08:00,vertical_test_1,0.3936570752304448,-0.18698510278586283,-0.06107833986011277,0.38887489315308715,-0.1658472061833477,-0.04609406741666647,-4.7821820773576444,21.137896602515138,14.9842724434463,26.347834044927602,0.16935,0.0308115,0.6944060821878484,0.7692927383670112,1.2064755458511822
2026-08-10T15:02:31.089165+08:00,vertical_test_1,0.3530057817083217,-0.16516946184525705,-0.06174696089842813,0.3490869005083541,-0.14283761056447308,-0.04257872653135453,-3.918881199967583,22.331851280783965,19.1682343670736,29.68990434874409,0.2112,0.030905500000000002,1.27594183191726,0.7462400987644502,1.144497485715712
2026-08-10T15:06:38.273965+08:00,vertical_test_1,0.35647922443332547,-0.04777412946618831,-0.06949626838514558,0.3416789196965724,-0.04322015660155937,-0.04939124189401367,-14.80030473675309,4.553972864628941,20.105026491131913,25.37715073371415,0.40195000000000003,0.032299,0.24648129525928208,0.3749659344857714,0.17199943551959862
2026-08-10T15:07:45.764658+08:00,vertical_test_1,0.29613018805619484,-0.29383621312577796,-0.06255757204934176,0.3008774147102967,-0.26791375625324493,-0.051342656434012535,4.747226654101877,25.92245687253303,11.214915615329224,28.640605151998887,0.17225000000000001,0.0309285,0.06987677091585542,0.29488191915788553,1.3159205280212638
2026-08-10T15:22:08.128862+08:00,vertical_test_1,0.33432123740553205,-0.21474283602532385,-0.06194258169847633,0.31985664901504873,-0.1954299335192779,-0.0455682923994343,-14.464588390483312,19.312902506045948,16.374289299042026,29.160416158945036,0.28990000000000005,0.031240499999999997,0.03367199551784772,0.06574471608453147,0.4870700129485095
2026-08-10T15:23:26.043612+08:00,vertical_test_1,0.34943300898208396,-0.1237522433398585,-0.06342059455340715,0.335511228856233,-0.09904610295734266,-0.03701417881055963,-13.921780125850935,24.70614038251584,26.40641574284752,38.74929840470952,0.35275,0.030932,0.12354670986863825,0.1586541052487761,1.1842759585912188
2026-08-10T15:24:46.954536+08:00,vertical_test_1,0.25042850195804955,-0.22243329200946382,-0.0652771189839533,0.25221545441886056,-0.20030420122893772,-0.05170188609795534,1.7869524608110088,22.129090780526106,13.575232885997963,26.022621039761628,0.27490000000000003,0.031642,0.13959359422599515,0.1463406575850923,1.280890453964456
2026-08-10T15:27:10.854128+08:00,vertical_test_1,0.4595633047795735,-0.21865339823458702,-0.05684531744050306,0.4436720418267263,-0.19456788955110643,-0.04811971684888072,-15.891262952847207,24.085508683480583,8.725600591622335,30.145979374753654,0.53945,0.030842,0.05632920297288235,0.05123490001565645,0.2078485890268933
