source,index,x_m,y_m,z_m,stamp_ns
visual_apple_center,1,0.3534747075023861,-0.1649073697002596,-0.061744670324204276,1786345313489966977
visual_apple_center,2,0.35347029451383544,-0.16492271526578606,-0.06165474820499239,1786345314010976757
visual_apple_center,3,0.3523185271019318,-0.16516111888438983,-0.061851410982036725,1786345314509771497
visual_apple_center,4,0.35358760866449657,-0.16490697124987214,-0.062723143115687,1786345315015364267
visual_apple_center,5,0.35297956803227354,-0.16563978641245308,-0.061578645629971285,1786345315550199613
visual_apple_center,6,0.35299899600339907,-0.16564729560787927,-0.06174925147265198,1786345316077067177
visual_apple_center,7,0.3530125674132443,-0.1656532113486366,-0.06169563175682058,1786345317113947286
visual_apple_center,8,0.353485592225197,-0.1649247246341134,-0.061655975103404315,1786345317611769784
visual_apple_center,9,0.352320826837753,-0.16517780480612426,-0.062009129264267215,1786345318126818637
visual_apple_center,10,0.3523116668325793,-0.16518347599828628,-0.0618019651849282,1786345318656110713
manual_aligned_tcp,1,0.3490713068464908,-0.14283486120368355,-0.04258180309629345,1786345350053781952
manual_aligned_tcp,2,0.34909277204650996,-0.14284044634503884,-0.04257122406232289,1786345350108582395
manual_aligned_tcp,3,0.34909479295352563,-0.14284195108353612,-0.042576044722906436,1786345350163344034
manual_aligned_tcp,4,0.34906750240016043,-0.1428298133928853,-0.04258867689302237,1786345350213365553
manual_aligned_tcp,5,0.3490747486513866,-0.14283143137680773,-0.04258479450132707,1786345350263509897
manual_aligned_tcp,6,0.3490652081846526,-0.14282904035703387,-0.042584925500153414,1786345350318824859
manual_aligned_tcp,7,0.34910492877749905,-0.1428298614116088,-0.04258140833980262,1786345350373180083
manual_aligned_tcp,8,0.3490810289701983,-0.1428369014166052,-0.04257410356947117,1786345350423560011
manual_aligned_tcp,9,0.34909298393841726,-0.14282707434544317,-0.04257128994130377,1786345350478501173
manual_aligned_tcp,10,0.3490721810686323,-0.1428313898700963,-0.04258211226168801,1786345350533336234
manual_aligned_tcp,11,0.3490696547888475,-0.14284788322094635,-0.04258386720638868,1786345350583347827
manual_aligned_tcp,12,0.34909986490653655,-0.1428298045084903,-0.04256197699831976,1786345350638184570
manual_aligned_tcp,13,0.3490958487714502,-0.14283812923005917,-0.042568785344818616,1786345350688433669
manual_aligned_tcp,14,0.34911112588854615,-0.14285391782018916,-0.042556282879181784,1786345350738468181
manual_aligned_tcp,15,0.3491043334450517,-0.14284434195795478,-0.042575912879399824,1786345350788538514
manual_aligned_tcp,16,0.3490723681045925,-0.142837091898887,-0.042591293633237326,1786345350843206718
manual_aligned_tcp,17,0.3490979054863897,-0.14285011578174286,-0.042561292860314404,1786345350893336319
manual_aligned_tcp,18,0.34907602369055396,-0.14284650661146764,-0.04258349245754012,1786345350943524457
manual_aligned_tcp,19,0.3490722186259259,-0.14284146059482625,-0.04259036636809366,1786345350998242221
manual_aligned_tcp,20,0.34909956319894714,-0.14284314652446498,-0.04257597884387787,1786345351048562714
