source,index,x_m,y_m,z_m,stamp_ns
visual_apple_center,1,0.3343194875625678,-0.21472973094023812,-0.06186072607678045,1786346476454407432
visual_apple_center,2,0.33433321191390897,-0.21473696334751366,-0.06187259073893503,1786346476969916178
visual_apple_center,3,0.3343229872484963,-0.21470997556605861,-0.06194996342071124,1786346477501513715
visual_apple_center,4,0.3343033910342621,-0.2147300897743252,-0.06193519997624142,1786346478035570927
visual_apple_center,5,0.3343294325505147,-0.2147356268732684,-0.06193153478228569,1786346478536152532
visual_apple_center,6,0.33433706302977995,-0.21474870870313406,-0.0620870806267837,1786346479068457249
visual_apple_center,7,0.33431415544794324,-0.2147591109648027,-0.06199182573892348,1786346479600821358
visual_apple_center,8,0.33433301546585836,-0.2147516392871548,-0.06234779608972896,1786346480107201431
visual_apple_center,9,0.3343171435245912,-0.21477572028214315,-0.06213033943144919,1786346480630335868
visual_apple_center,10,0.33430732526576357,-0.21475044503919932,-0.06190077617194756,1786346481138199295
manual_aligned_tcp,1,0.31985769485537807,-0.19543687920975672,-0.04556909951309768,1786346527103646186
manual_aligned_tcp,2,0.31983916147552915,-0.19542007179467175,-0.04556862980544413,1786346527158230590
manual_aligned_tcp,3,0.3198592389839543,-0.1954153676704592,-0.04556817744082886,1786346527208425584
manual_aligned_tcp,4,0.3198620538062868,-0.1954393062928908,-0.04556256745729165,1786346527263567645
manual_aligned_tcp,5,0.31982672852513583,-0.19541737889062005,-0.04557139436021934,1786346527313753687
manual_aligned_tcp,6,0.3198666703515648,-0.19541135698990247,-0.04556840735803952,1786346527368174716
manual_aligned_tcp,7,0.31984759590285433,-0.19543486475091376,-0.045574367863357834,1786346527418377980
manual_aligned_tcp,8,0.31981964052118744,-0.1954092028836005,-0.04557704303614729,1786346527473449198
manual_aligned_tcp,9,0.31984904018960236,-0.19543206025359622,-0.04556817744082908,1786346527528420166
manual_aligned_tcp,10,0.31984145055418617,-0.19542103604848618,-0.04556472721675442,1786346527578833883
manual_aligned_tcp,11,0.31985066959876596,-0.19543039851517713,-0.04556282981261173,1786346527633464456
manual_aligned_tcp,12,0.31986944062571254,-0.19543558122094518,-0.045556391285097086,1786346527688181795
manual_aligned_tcp,13,0.3198654362814697,-0.19543377032101536,-0.04556256745729159,1786346527738482358
manual_aligned_tcp,14,0.31984317555678066,-0.1954327138350271,-0.04557451873375479,1786346527793269787
manual_aligned_tcp,15,0.3198591040577514,-0.1954451915019257,-0.04556856741285076,1786346527843359748
manual_aligned_tcp,16,0.319856595581714,-0.19542946852337867,-0.04556286946172272,1786346527898293196
manual_aligned_tcp,17,0.3198567024483835,-0.19541096220016196,-0.045561731944313566,1786346527948538847
manual_aligned_tcp,18,0.31983433486379853,-0.19542841198696392,-0.04557482021773979,1786346528003381089
manual_aligned_tcp,19,0.31988304621125546,-0.1954318181853965,-0.045543517143670276,1786346528058337694
manual_aligned_tcp,20,0.31985985404688,-0.19542251408561007,-0.04556840735803963,1786346528113313148
